Diagnosed Diabetes; Age; Adults Aged 18+ Years; Percentage; Connecticut,,,,,,,,,,,,
Data downloaded on 14-September-2022,,,,,,,,,,,,
Year,18-44 - Percentage,18-44 - Lower Limit,18-44 - Upper Limit,45-64 - Percentage,45-64 - Lower Limit,45-64 - Upper Limit,65-74 - Percentage,65-74 - Lower Limit,65-74 - Upper Limit,75+ - Percentage,75+ - Lower Limit,75+ - Upper Limit
2000,1.5,1.1,2.2,7.2,5.8,9,15.6,12.1,20,10.5,7.1,15.3
2001,2,1.4,2.7,8.5,7.3,9.9,15.3,12.5,18.5,13.1,10.5,16.2
2002,1.6,1.1,2.3,7.1,5.7,8.7,15.5,12.3,19.3,15.7,12.2,20
2003,1.9,1.3,2.6,7.2,6,8.7,15.7,12.7,19.3,13.1,10.1,16.7
2004,2,1.4,2.8,7.2,6.1,8.5,15,12.1,18.3,14.4,11.7,17.8
2005,2.3,1.7,3.2,8.8,7.4,10.4,14.6,11.7,18.1,12,9.3,15.4
2006,2.1,1.5,2.7,8.1,7.1,9.3,15.6,13.1,18.5,13.9,11.8,16.4
2007,2.5,1.7,3.6,8.5,7.3,9.9,18.6,15.8,21.8,16.1,13.9,18.7
2008,2.1,1.4,3.1,8.2,7,9.7,18,15.2,21.2,14,11.5,16.8
2009,1.4,0.9,2.2,8.5,7.3,9.9,15.6,13.2,18.4,16.7,14.1,19.6
2010,2.5,1.7,3.8,8.9,7.6,10.3,14.6,12.3,17.2,17.7,15.1,20.7
2011,2.6,1.9,3.6,11.1,9.5,13,23.9,20.7,27.4,19.8,16.6,23.5
2012,3,2.1,4.2,11.4,9.9,13.1,20.7,18.1,23.5,16.3,13.8,19.3
2013,2.3,1.7,3.2,9.5,8.2,11,19.9,17,23.1,18.7,15.5,22.3
2014,2.1,1.4,3,11.5,10.1,13.1,20.9,18.1,24,20,16.9,23.5
2015,2.6,2,3.5,11.4,10.2,12.7,20,17.9,22.3,18.7,16.3,21.3
2016,2.3,1.7,3.1,12.2,11,13.6,21.9,19.7,24.3,20,17.7,22.5
2017,2.6,1.9,3.4,12.1,10.8,13.4,20.2,18,22.7,20.6,17.7,23.8
2018,2.5,1.9,3.2,12,10.8,13.3,18.9,16.6,21.4,21.7,18.7,25.1
2019,2.7,2,3.7,11.9,10.6,13.3,18.6,16.4,21,19.5,16.9,22.4
2020,3.3,2.4,4.5,10.4,9.1,11.9,19.3,16.3,22.8,19.5,16.2,23.4
US Diabetes Surveillance System; www.cdc.gov/diabetes/data; Division of Diabetes Translation - Centers for Disease Control and Prevention.,,,,,,,,,,,,
