,tweet_id,sentiment,content,preprocessed_content
0,1956967666,sadness,Layin n bed with a headache  ughhhh...waitin on your call...,layin n bed with a headache ughhhhwaitin on your call
1,1956967696,sadness,Funeral ceremony...gloomy friday...,funeral ceremonygloomy friday
3,1956968416,neutral,"@dannycastillo We want to trade with someone who has Houston tickets, but no one will.",we want to trade with someone who ha houston ticket but no one will
4,1956968477,worry,Re-pinging @ghostridah14: why didn't you go to prom? BC my bf didn't like my friends,repinging why didnt you go to prom bc my bf didnt like my friend
5,1956968487,sadness,"I should be sleep, but im not! thinking about an old friend who I want. but he's married now. damn, &amp; he wants me 2! scandalous!",i should be sleep but im not thinking about an old friend who i want but he married now damn amp he want me 2 scandalous
6,1956968636,worry,Hmmm. http://www.djhero.com/ is down,hmmm is down
7,1956969035,sadness,@charviray Charlene my love. I miss you,charlene my love i miss you
8,1956969172,sadness,@kelcouch I'm sorry  at least it's Friday?,im sorry at least it friday
9,1956969456,neutral,cant fall asleep,cant fall asleep
10,1956969531,worry,Choked on her retainers,choked on her retainer
11,1956970047,sadness,Ugh! I have to beat this stupid song to get to the next  rude!,ugh i have to beat this stupid song to get to the next rude
12,1956970424,sadness,@BrodyJenner if u watch the hills in london u will realise what tourture it is because were weeks and weeks late  i just watch itonlinelol,if u watch the hill in london u will realise what tourture it is because were week and week late i just watch itonlinelol
14,1956971077,sadness,The storm is here and the electricity is gone,the storm is here and the electricity is gone
16,1956971206,sadness,So sleepy again and it's not even that late. I fail once again.,so sleepy again and it not even that late i fail once again
17,1956971473,worry,@PerezHilton lady gaga tweeted about not being impressed by her video leaking just so you know,lady gaga tweeted about not being impressed by her video leaking just so you know
18,1956971586,sadness,How are YOU convinced that I have always wanted you? What signals did I give off...damn I think I just lost another friend,how are you convinced that i have always wanted you what signal did i give offdamn i think i just lost another friend
19,1956971981,worry,@raaaaaaek oh too bad! I hope it gets better. I've been having sleep issues lately too,oh too bad i hope it get better ive been having sleep issue lately too
21,1956972116,neutral,No Topic Maps talks at the Balisage Markup Conference 2009   Program online at http://tr.im/mL6Z (via @bobdc) #topicmaps,no topic map talk at the balisage markup conference 2009 program online at via topicmaps
22,1956972270,worry,I ate Something I don't know what it is... Why do I keep Telling things about food,i ate something i dont know what it is why do i keep telling thing about food
23,1956972359,sadness,so tired and i think i'm definitely going to get an ear infection.  going to bed &quot;early&quot; for once.,so tired and i think im definitely going to get an ear infection going to bed quotearlyquot for once
24,1956972444,worry,On my way home n having 2 deal w underage girls drinking gin on da bus while talking bout keggers......damn i feel old,on my way home n having 2 deal w underage girl drinking gin on da bus while talking bout keggersdamn i feel old
25,1956972557,sadness,"@IsaacMascote  i'm sorry people are so rude to you, isaac, they should get some manners and know better than to be so lewd!",im sorry people are so rude to you isaac they should get some manner and know better than to be so lewd
26,1956972884,worry,Damm servers still down  i need to hit 80 before all the koxpers pass me,damm server still down i need to hit 80 before all the koxpers pas me
27,1956973598,sadness,Fudge.... Just BS'd that whole paper.... So tired.... Ugh I hate school.....  time to sleep!!!!!!!!!!!,fudge just bsd that whole paper so tired ugh i hate school time to sleep
28,1956973690,worry,I HATE CANCER. I HATE IT I HATE IT I HATE IT.,i hate cancer i hate it i hate it i hate it
29,1956974706,hate,It is so annoying when she starts typing on her computer in the middle of the night!,it is so annoying when she start typing on her computer in the middle of the night
30,1956975441,neutral,@cynthia_123 i cant sleep,i cant sleep
31,1956975860,neutral,I missed the bl***y bus!!!!!!!!,i missed the bly bus
32,1956975876,neutral,feels strong contractions but wants to go out.  http://plurk.com/p/wxidk,feel strong contraction but want to go out
33,1956975927,neutral,SoCal!  stoked. or maybe not.. tomorrow,socal stoked or maybe not tomorrow
34,1956976187,neutral,Screw you @davidbrussee! I only have 3 weeks...,screw you i only have 3 week
35,1956976312,sadness,@ether_radio yeah :S i feel all funny cause i haven't slept enough  i woke my mum up cause i was singing she's not impressed :S you?,yeah s i feel all funny cause i havent slept enough i woke my mum up cause i wa singing shes not impressed s you
36,1956976371,worry,I need skott right now,i need skott right now
37,1956976557,neutral,has work this afternoon,ha work this afternoon
38,1956976681,neutral,@GABBYiSACTiVE Aw you would not unfollow me would you? Then I would cry,aw you would not unfollow me would you then i would cry
41,1956977618,worry,just picked up her Blackberry from the middle of the street! Both she and it are crushed!,just picked up her blackberry from the middle of the street both she and it are crushed
