Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code,Item,Year Code,Year,Source Code,Source,Unit,Value,Flag,Flag Description,Note
"GT","Emissions Totals","100","India","7225","Emissions (CH4)","5059","Manure Management","1961","1961","3050","FAO TIER 1","kilotonnes","720.7089","Fc","Calculated data",""
"GT","Emissions Totals","100","India","7230","Emissions (N2O)","5059","Manure Management","1961","1961","3050","FAO TIER 1","kilotonnes","7.7237","Fc","Calculated data",""
"GT","Emissions Totals","100","India","7225","Emissions (CH4)","5059","Manure Management","1962","1962","3050","FAO TIER 1","kilotonnes","711.5384","Fc","Calculated data",""
"GT","Emissions Totals","100","India","7230","Emissions (N2O)","5059","Manure Management","1962","1962","3050","FAO TIER 1","kilotonnes","7.726","Fc","Calculated data",""
"GT","Emissions Totals","100","India","7225","Emissions (CH4)","5059","Manure Management","1963","1963","3050","FAO TIER 1","kilotonnes","708.1472","Fc","Calculated data",""
"GT","Emissions Totals","100","India","7230","Emissions (N2O)","5059","Manure Management","1963","1963","3050","FAO TIER 1","kilotonnes","7.7305","Fc","Calculated data",""
"GT","Emissions Totals","100","India","7225","Emissions (CH4)","5059","Manure Management","1964","1964","3050","FAO TIER 1","kilotonnes","712.5544","Fc","Calculated data",""
"GT","Emissions Totals","100","India","7230","Emissions (N2O)","5059","Manure Management","1964","1964","3050","FAO TIER 1","kilotonnes","7.8236","Fc","Calculated data",""
"GT","Emissions Totals","100","India","7225","Emissions (CH4)","5059","Manure Management","1965","1965","3050","FAO TIER 1","kilotonnes","711.7185","Fc","Calculated data",""
"GT","Emissions Totals","100","India","7230","Emissions (N2O)","5059","Manure Management","1965","1965","3050","FAO TIER 1","kilotonnes","7.8554","Fc","Calculated data",""
"GT","Emissions Totals","100","India","7225","Emissions (CH4)","5059","Manure Management","1966","1966","3050","FAO TIER 1","kilotonnes","731.4478","Fc","Calculated data",""
"GT","Emissions Totals","100","India","7230","Emissions (N2O)","5059","Manure Management","1966","1966","3050","FAO TIER 1","kilotonnes","7.8689","Fc","Calculated data",""
"GT","Emissions Totals","100","India","7225","Emissions (CH4)","5059","Manure Management","1967","1967","3050","FAO TIER 1","kilotonnes","730.6166","Fc","Calculated data",""
"GT","Emissions Totals","100","India","7230","Emissions (N2O)","5059","Manure Management","1967","1967","3050","FAO TIER 1","kilotonnes","7.9679","Fc","Calculated data",""
"GT","Emissions Totals","100","India","7225","Emissions (CH4)","5059","Manure Management","1968","1968","3050","FAO TIER 1","kilotonnes","740.6268","Fc","Calculated data",""
"GT","Emissions Totals","100","India","7230","Emissions (N2O)","5059","Manure Management","1968","1968","3050","FAO TIER 1","kilotonnes","8.029","Fc","Calculated data",""
"GT","Emissions Totals","100","India","7225","Emissions (CH4)","5059","Manure Management","1969","1969","3050","FAO TIER 1","kilotonnes","746.8921","Fc","Calculated data",""
"GT","Emissions Totals","100","India","7230","Emissions (N2O)","5059","Manure Management","1969","1969","3050","FAO TIER 1","kilotonnes","8.083","Fc","Calculated data",""
"GT","Emissions Totals","100","India","7225","Emissions (CH4)","5059","Manure Management","1970","1970","3050","FAO TIER 1","kilotonnes","748.2261","Fc","Calculated data",""
"GT","Emissions Totals","100","India","7230","Emissions (N2O)","5059","Manure Management","1970","1970","3050","FAO TIER 1","kilotonnes","8.1592","Fc","Calculated data",""
"GT","Emissions Totals","100","India","7225","Emissions (CH4)","5059","Manure Management","1971","1971","3050","FAO TIER 1","kilotonnes","760.1726","Fc","Calculated data",""
