Year,Temperature
F1961,-0.218
F1962,-0.492
F1963,-0.021
F1964,-0.032
F1965,-0.074
F1966,0.297
F1967,-0.204
F1968,-0.22
F1969,0.322
F1970,0.059
F1971,-0.47
F1972,0.04
F1973,0.296
F1974,0.012
F1975,-0.324
F1976,-0.005
F1977,0.152
F1978,-0.169
F1979,0.299
F1980,0.391
F1981,0.05
F1982,-0.038
F1983,-0.177
F1984,-0.15
F1985,0.153
F1986,0.142
F1987,0.542
F1988,0.477
F1989,-0.039
F1990,-0.101
F1991,0.16
F1992,0.007
F1993,0.176
F1994,0.059
F1995,0.191
F1996,0.295
F1997,-0.109
F1998,0.559
F1999,0.424
F2000,0.309
F2001,0.441
F2002,0.796
F2003,0.633
F2004,0.533
F2005,0.545
F2006,0.625
F2007,0.579
F2008,0.237
F2009,1.131
F2010,1.113
F2011,0.336
F2012,0.486
F2013,0.434
F2014,0.522
F2015,0.68
F2016,1.074
F2017,0.982
F2018,0.884
F2019,0.809
F2020,0.518
F2021,0.729
